team,games,sacks,fumbleRecoveries,interceptions,defenseTouchdowns,safeties,blockedKicks,kickYards,kickTouchdowns,puntYards,puntTouchdowns,paPerGame,pa0Games,pa16Games,pa713Games,pa1420Games,pa2127Games,pa2834Games,pa3545Games,pa46plusGames,passYdsPerGame,runYdsPerGame,yaNegGames,ya099Games,ya100199Games,ya200299Games,ya300349Games,ya350399Games,ya400449Games,ya450499Games,ya500549Games,ya550plusGames,fantasyPts,fantasyPpg,Year
ARZ,16,37,6,15,2,0,0,592,0,288,0,22.6,1,0,3,2,3,6,1,0,237.3,89.6,0,0,0,5,5,3,3,0,0,0,105,6.56,2017
ATL,16,39,9,8,2,0,0,871,0,201,0,19.7,0,0,2,7,6,1,0,0,232.8,104.1,0,0,0,4,7,3,2,0,0,0,99,6.19,2017
BLT,16,41,12,22,5,0,2,936,1,322,1,18.9,3,0,2,4,4,1,2,0,231.3,111.3,0,0,0,5,3,6,1,0,0,1,186,11.63,2017
BUF,16,27,8,18,3,0,0,640,0,213,0,22.4,0,0,4,6,2,1,1,2,240.3,124.6,0,0,0,3,2,6,3,2,0,0,106,6.63,2017
CAR,16,50,12,10,1,0,1,760,1,318,1,20.4,0,3,0,3,6,4,0,0,248.1,88.1,0,0,2,3,2,5,4,0,0,0,133,8.31,2017
CHI,16,42,14,8,3,1,1,969,0,337,2,20,0,2,1,5,5,2,1,0,228.3,108.1,0,0,0,3,7,3,3,0,0,0,136,8.5,2017
CIN,16,41,3,11,3,0,2,670,0,409,0,21.8,0,0,2,5,6,3,0,0,228.6,127.9,0,0,0,5,2,4,4,0,1,0,99,6.19,2017
CLV,16,33,6,7,1,0,2,790,0,221,0,25.6,0,0,1,4,4,6,1,0,242.6,97.9,0,0,0,5,1,9,1,0,0,0,65,4.06,2017
DAL,16,38,10,10,1,0,1,620,0,275,1,20.8,1,1,2,5,2,1,4,0,234.1,104,0,0,1,3,6,3,2,0,1,0,104,6.5,2017
DEN,16,33,7,10,4,0,3,768,0,351,0,23.9,1,0,2,2,7,1,2,1,211.6,89.4,0,0,1,9,0,4,2,0,0,0,101,6.31,2017
DET,16,36,13,19,5,0,3,583,0,517,2,23.5,0,0,4,2,6,2,1,1,257.5,112.5,0,0,0,1,4,6,5,0,0,0,153,9.56,2017
GB,16,37,10,11,2,0,1,761,0,289,0,24,0,0,1,4,5,5,1,0,254.3,112.1,0,0,0,3,2,6,3,2,0,0,91,5.69,2017
HST,16,31,5,11,4,1,0,558,0,296,0,27.3,0,0,1,3,5,3,4,0,249.9,108.7,0,0,0,5,4,0,3,4,0,0,77,4.81,2017
IND,16,25,6,13,1,2,3,590,0,162,0,25.3,0,0,2,4,5,2,1,2,257.7,120.4,0,0,0,2,5,2,3,3,1,0,74,4.63,2017
JAX,16,55,12,21,7,0,2,551,0,325,1,16.8,1,0,7,2,4,0,2,0,192.1,116.3,0,0,2,6,3,3,1,0,1,0,203,12.69,2017
KC,16,32,10,16,3,0,1,1051,0,220,1,21.2,0,0,4,6,2,3,1,0,258.2,118.1,0,0,0,2,5,4,3,1,1,0,124,7.75,2017
MIA,16,29,6,9,3,1,2,834,0,271,0,24.6,0,0,2,5,3,3,3,0,236.8,110,0,0,0,3,6,4,2,0,1,0,79,4.94,2017
MIN,16,37,5,14,1,1,0,619,0,372,0,15.8,1,0,5,6,2,2,0,0,208.1,83.6,0,0,1,8,3,3,1,0,0,0,117,7.31,2017
NE,16,42,5,12,0,1,2,622,1,263,0,18.5,0,2,3,6,2,2,1,0,269.9,114.8,0,0,0,3,2,4,5,1,0,1,112,7,2017
NO,16,42,6,20,4,0,1,825,1,218,0,20.4,1,0,5,3,2,3,2,0,242.8,111.7,0,0,0,5,3,3,1,3,0,1,153,9.56,2017
NYG,16,27,6,13,2,1,1,609,0,148,0,24.3,0,0,3,2,7,3,0,1,262.4,120.8,0,0,0,2,2,5,4,3,0,0,87,5.44,2017
NYJ,16,28,9,11,0,0,0,683,0,171,0,23.9,0,1,0,4,6,3,2,0,244,117.9,0,0,0,3,4,4,4,1,0,0,68,4.25,2017
OAK,16,31,9,5,0,0,2,738,0,155,0,23.3,0,0,0,8,3,5,0,0,252.9,108.9,0,0,0,4,4,3,3,1,1,0,64,4,2017
PHI,16,38,10,19,5,0,5,354,0,259,0,18.4,0,2,4,1,7,1,1,0,242.7,79.2,0,0,1,4,6,2,2,0,1,0,157,9.81,2017
PIT,16,56,6,16,1,1,2,630,1,207,0,19.3,0,1,3,6,3,2,1,0,225.6,105.8,0,0,0,6,4,3,2,1,0,0,141,8.81,2017
LA,16,50,11,18,5,2,5,1001,1,458,0,20.6,1,0,3,5,3,2,2,0,237.4,122.3,0,0,0,4,3,2,4,3,0,0,182,11.38,2017
LAC,16,43,9,18,3,0,1,474,0,259,1,17,1,1,4,3,6,1,0,0,213.6,131.1,0,0,0,4,5,3,3,1,0,0,157,9.81,2017
SF,16,30,10,10,1,0,0,570,0,304,0,23.9,0,0,2,4,6,2,2,0,246.4,116.3,0,0,1,2,5,2,3,2,1,0,78,4.88,2017
SEA,16,39,10,14,4,2,1,1004,1,237,0,20.8,0,0,6,4,1,3,2,0,226,114,0,0,1,5,3,3,3,0,1,0,139,8.69,2017
TB,16,22,13,13,2,0,3,432,0,192,0,23.9,0,0,2,3,6,4,1,0,269.1,117.5,0,0,0,3,3,1,7,1,1,0,92,5.75,2017
TEN,16,43,9,12,1,0,0,618,0,305,0,22.3,0,0,4,5,5,0,1,1,256.3,88.8,0,0,1,3,4,3,4,1,0,0,104,6.5,2017
WAS,16,42,7,16,2,0,1,673,0,178,0,24.3,0,0,3,4,1,6,2,0,230.8,134.1,0,0,2,1,3,5,2,2,1,0,103,6.44,2017
ARZ,16,50,9,7,3,0,1,536,0,295,0,26.6,0,0,0,6,5,2,3,0,224.7,154.9,0,0,0,2,6,1,5,2,0,0,99,6.19,2018
ATL,16,37,4,15,2,0,1,689,0,147,0,26.4,0,0,1,4,3,5,3,0,275.5,124.9,0,0,0,1,4,3,3,3,2,0,79,4.94,2018
BLT,16,43,5,12,3,0,0,707,0,404,1,17.9,1,1,3,4,5,1,1,0,228.2,82.9,0,0,3,5,2,2,2,2,0,0,129,8.06,2018
BUF,16,36,11,16,0,1,0,807,0,207,0,23.4,0,1,3,2,6,1,2,1,192.8,114.9,0,0,2,5,2,5,2,0,0,0,100,6.25,2018
CAR,16,35,9,13,0,0,0,582,0,165,0,23.9,0,0,2,3,6,4,0,1,253.9,112.8,0,0,0,2,5,3,5,1,0,0,82,5.13,2018
CHI,16,50,9,27,6,1,0,441,0,411,0,17.7,0,1,5,5,2,2,1,0,240.9,80,0,0,1,6,3,4,1,0,1,0,186,11.63,2018
CIN,16,33,6,12,5,0,1,1071,0,236,0,28.4,0,0,0,3,6,3,3,1,286.7,137.6,0,0,0,0,4,4,2,2,2,2,84,5.25,2018
CLV,16,37,14,17,0,1,2,884,0,290,0,24.5,0,0,1,6,4,2,3,0,273.1,135,0,0,0,3,1,3,3,4,1,1,99,6.19,2018
DAL,16,39,11,9,1,0,0,283,0,119,0,20.3,0,0,3,6,5,1,1,0,249,94.6,0,0,1,2,5,4,3,1,0,0,98,6.13,2018
DEN,16,44,10,17,2,0,4,604,0,131,0,21.8,0,0,2,5,7,2,0,0,265,119.6,0,0,0,3,3,4,2,2,2,0,125,7.81,2018
DET,16,43,7,7,2,0,0,482,0,171,0,22.5,1,1,1,2,6,4,0,1,243.6,109.6,0,0,0,4,3,4,4,0,1,0,98,6.13,2018
GB,16,44,8,7,2,0,1,644,0,198,0,25,1,0,1,2,4,7,1,0,254.6,119.9,0,0,0,2,4,4,4,2,0,0,98,6.13,2018
HST,16,43,14,15,4,0,1,487,0,327,0,19.8,0,1,3,4,6,2,0,0,279.8,82.7,0,0,1,3,3,3,4,0,2,0,147,9.19,2018
IND,16,37,11,15,0,0,2,337,0,217,0,21.5,1,2,2,2,4,2,3,0,252.1,101.6,0,0,0,3,5,4,3,1,0,0,111,6.94,2018
JAX,16,37,6,11,2,1,0,532,0,334,1,19.8,1,0,3,6,2,3,1,0,209.6,116.9,0,0,0,6,4,3,3,0,0,0,112,7,2018
KC,16,52,12,15,4,0,1,975,0,261,1,26.3,0,1,1,2,5,3,3,1,295.1,132.1,0,0,0,1,3,0,4,5,3,0,131,8.19,2018
MIA,16,31,7,21,3,0,2,938,1,293,1,27.1,0,1,1,4,2,4,4,0,258.8,145.3,0,0,0,1,2,4,5,4,0,0,114,7.13,2018
MIN,16,50,8,12,3,0,0,540,0,315,0,21.3,0,0,2,5,6,2,1,0,218.8,113.4,0,0,0,7,4,3,0,1,0,1,115,7.19,2018
NE,16,30,10,18,3,0,2,752,1,199,0,20.3,0,2,4,3,2,4,1,0,261.3,112.9,0,0,1,3,1,5,3,3,0,0,143,8.94,2018
NO,16,49,12,12,1,0,2,560,0,157,0,22.1,0,0,3,7,1,2,2,1,288.9,80.2,0,0,0,2,6,2,4,1,1,0,110,6.88,2018
NYG,16,30,5,16,3,0,0,1097,0,231,0,25.8,0,0,0,5,5,4,2,0,264.3,118.6,0,0,0,1,3,6,5,0,1,0,83,5.19,2018
NYJ,16,40,7,13,3,0,3,1238,1,324,1,27.6,0,0,1,3,5,3,4,0,272.4,126.3,0,0,0,1,4,4,2,3,1,1,101,6.31,2018
OAK,16,13,3,14,1,0,1,663,0,291,1,29.2,0,0,0,3,4,5,4,0,245.8,140.6,0,0,0,1,4,4,4,2,1,0,42,2.63,2018
PHI,16,44,7,10,0,0,0,725,0,216,0,21.8,1,0,3,2,7,2,0,1,288.7,96.9,0,0,1,2,1,3,7,0,1,1,96,6,2018
PIT,16,52,7,8,3,2,3,619,0,252,0,22.5,0,0,2,4,7,2,1,0,252.8,96.1,0,0,0,6,1,6,0,3,0,0,113,7.06,2018
LA,16,41,12,18,5,2,2,834,0,307,0,24,1,0,3,3,2,5,1,1,256.6,122.3,0,0,1,2,2,6,2,2,0,1,155,9.69,2018
LAC,16,38,8,13,2,0,0,653,0,358,1,20.6,0,1,3,4,4,2,2,0,242.9,106,0,0,1,0,7,6,1,0,1,0,111,6.94,2018
SF,16,37,5,2,1,1,0,944,1,180,0,27.2,0,1,0,3,5,3,3,1,247.4,113.4,0,0,0,4,3,5,3,0,1,0,56,3.5,2018
SEA,16,43,14,12,2,0,1,669,0,143,0,21.7,0,1,2,3,7,2,1,0,256.4,113.2,0,0,0,5,2,3,1,5,0,0,120,7.5,2018
TB,16,39,8,9,1,0,0,631,0,163,0,29,0,0,1,3,3,4,4,1,273.9,123.9,0,0,0,2,2,3,5,4,0,0,62,3.88,2018
TEN,16,39,6,11,2,0,0,737,1,237,0,18.9,1,1,3,4,4,2,1,0,232.4,116.4,0,0,0,4,4,4,1,3,0,0,118,7.38,2018
WAS,16,46,11,15,1,0,0,570,0,110,0,22.4,0,2,2,3,4,2,3,0,255.7,116.3,0,0,0,3,3,4,3,1,2,0,115,7.19,2018
ARZ,16,40,10,7,0,0,1,764,0,168,0,27.6,0,0,1,0,7,6,2,0,299.1,120.1,0,0,0,2,1,3,3,4,2,1,65,4.06,2019
ATL,16,28,8,12,1,0,1,571,0,266,1,24.9,0,1,2,2,6,2,2,1,258.6,110.9,0,0,0,2,5,5,3,0,0,1,84,5.25,2019
BLT,16,35,12,13,6,1,2,493,0,206,0,17.6,0,1,4,7,2,1,1,0,223.9,92.9,0,0,1,7,4,2,0,0,2,0,150,9.38,2019
BUF,16,44,9,14,0,1,2,802,1,243,0,16.2,0,1,4,7,3,1,0,0,213.8,103.1,0,0,1,7,2,4,1,1,0,0,129,8.06,2019
CAR,16,54,7,14,1,2,2,677,0,165,0,29.4,0,0,1,3,3,5,3,1,249.8,143.5,0,0,0,2,2,5,4,2,1,0,94,5.88,2019
CHI,16,32,9,10,1,1,0,903,1,302,0,18.6,0,1,2,7,5,0,1,0,237.3,102,0,0,0,5,2,6,3,0,0,0,102,6.38,2019
CIN,16,31,5,11,0,1,0,1091,1,164,0,26.3,0,1,0,2,9,1,2,1,257.6,148.9,0,0,0,1,4,3,2,2,3,1,67,4.19,2019
CLV,16,38,6,14,1,0,2,830,0,161,0,24.6,0,1,1,4,4,4,2,0,233.2,145.3,0,0,0,2,4,4,2,4,0,0,89,5.56,2019
DAL,16,39,10,7,1,0,0,325,0,131,0,20.1,0,1,3,4,5,3,0,0,242.4,103.5,0,0,0,3,6,5,1,1,0,0,99,6.19,2019
DEN,16,40,7,10,1,0,1,534,0,208,0,19.8,1,0,1,7,6,1,0,0,243.3,111.4,0,0,0,5,2,4,2,3,0,0,101,6.31,2019
DET,16,28,11,7,1,0,0,564,1,246,1,26.4,0,0,1,3,7,2,3,0,296.1,115.9,0,0,0,2,1,2,6,2,3,0,75,4.69,2019
GB,16,41,7,17,0,0,1,667,0,98,0,19.6,0,1,3,5,5,1,1,0,252.1,120.3,0,0,1,2,4,3,3,2,0,1,109,6.81,2019
HST,16,31,10,12,2,0,2,308,0,214,0,24.1,0,1,1,4,4,3,3,0,280.7,121.1,0,0,0,0,4,6,2,3,1,0,89,5.56,2019
IND,16,41,8,15,1,2,0,707,0,418,2,23.3,0,1,3,3,3,4,2,0,264.4,97.9,0,0,0,4,3,5,2,1,1,0,119,7.44,2019
JAX,16,48,9,10,2,0,2,628,0,154,0,24.8,0,0,3,4,3,3,3,0,255.5,139.3,0,0,0,3,3,3,2,3,2,0,101,6.31,2019
KC,16,46,7,16,3,0,2,927,1,222,0,19.3,0,3,2,3,3,4,1,0,242.6,128.2,0,0,0,4,4,1,4,3,0,0,142,8.88,2019
MIA,16,23,3,13,1,1,0,796,1,177,0,30.9,0,0,1,2,3,4,5,1,272.1,135.3,0,0,0,0,4,4,4,3,0,1,47,2.94,2019
MIN,16,49,14,17,2,1,1,380,0,191,0,18.9,0,0,5,3,6,1,1,0,256.6,107.3,0,0,0,4,2,3,6,1,0,0,144,9,2019
NE,16,47,11,25,7,1,4,575,0,233,0,14.1,2,1,6,3,2,1,1,0,200.7,95.5,0,0,2,5,4,3,2,0,0,0,228,14.25,2019
NO,16,51,10,13,3,1,1,676,0,368,1,21.3,0,1,4,2,5,3,0,1,262.6,91.3,0,0,0,6,3,2,3,0,2,0,142,8.88,2019
NYG,16,35,6,10,3,1,2,1153,0,274,0,28.2,0,1,0,2,2,7,4,0,279.4,113.3,0,0,1,1,3,1,7,1,2,0,81,5.06,2019
NYJ,16,35,9,12,5,2,1,808,0,240,0,22.4,0,2,1,2,6,4,1,0,250,86.7,0,0,0,5,4,5,2,0,0,0,130,8.13,2019
OAK,16,32,6,9,2,0,0,811,0,184,0,26.2,0,0,1,4,5,3,3,0,272.2,98.1,0,0,0,6,1,3,2,3,0,1,67,4.19,2019
PHI,16,43,9,11,3,0,2,653,0,160,0,22.1,0,1,2,5,5,0,3,0,258.5,90.1,0,0,2,3,2,3,4,2,0,0,111,6.94,2019
PIT,16,53,18,20,3,0,1,524,0,286,1,18.9,0,1,3,5,4,3,0,0,215.9,109.6,0,0,0,8,3,2,1,2,0,0,175,10.94,2019
LA,16,49,11,13,3,1,0,404,0,170,0,22.8,0,0,7,2,2,2,2,1,245.5,112.7,0,0,0,6,1,4,2,3,0,0,133,8.31,2019
LAC,16,30,3,11,0,0,0,726,0,118,1,21.6,0,0,4,2,8,1,1,0,212.1,112.8,0,0,0,6,4,4,2,0,0,0,77,4.81,2019
SF,16,48,15,12,5,0,0,409,0,264,0,19.4,1,1,3,4,4,2,0,1,192.1,112.5,0,0,2,7,2,4,0,1,0,0,159,9.94,2019
SEA,16,28,16,16,3,0,3,432,0,141,0,24.9,0,0,2,2,5,7,0,0,275.4,117.7,0,0,0,2,2,3,5,3,1,0,116,7.25,2019
TB,16,47,17,12,6,0,0,494,0,172,0,28.1,0,0,1,2,4,5,4,0,290.4,73.8,0,0,0,5,3,2,3,1,2,0,126,7.88,2019
TEN,16,43,9,14,4,1,4,638,0,169,0,20.7,0,0,2,8,3,2,1,0,272.3,104.5,0,0,0,2,3,6,3,1,1,0,135,8.44,2019
WAS,16,46,9,13,0,0,1,833,1,103,0,27.2,0,0,1,4,3,5,2,1,255.8,145.9,0,0,0,2,3,3,4,2,1,1,88,5.5,2019
